path,bytes,lines,nonblank_lines,sha256
.agents/plugins/marketplace.json,441,21,21,3c98fde19808b840c863658515e6c5e4fd1657ff17e06673437b54bccfb922bc
.gitignore,61,6,6,be0a15c20d011ae3515facb8fd10868254c35af472006ac1f06475e2b6965514
CODE_OF_CONDUCT.md,1249,21,15,9f8c6e3236ba4b7304c12b5510db6f42c334596a0a81d7cb31c445a9a5274423
CONTRIBUTING.md,1904,45,31,bd34f2309ba1aedb3935cd05ec96c8fc65a4d05695284029aefa34f9237326ce
LICENSE,34020,235,124,d8a6cc31abc16b6748c7a21f21611f5a1ec33f67d22ca23d7da1c19b95496bee
PRIVACY.md,3585,51,31,d6f2a4191f8c8dc4484eb3fd6806752298c4a1b1026c6c5bcf3fa6ade3aee04b
README.md,27811,405,272,eeaa72743f8f82d4cc4e6124eaf17c5553f1f890cf2a9b85ea955b45eb0c272b
SECURITY.md,1646,26,15,123d1cf5576675d2673f97fa71d1c54f89c2e699b3f1ea84cb97a271b46477e8
TERMS.md,2960,42,25,1c2dd6c99bf6ade2114b96fd4f24ebc7a959d15c41b89b8c41a4c6e8762b3379
chatgpt-app-submission.json,18449,236,236,0759d60932c70bf9630b8b2bd35c483bc045c205a8f60da02869784228a1674a
migrations/0001_initial_schema.sql,5083,138,119,2ee0e49edab9bf9c4bb0d98db91847503ae49e49c4268b5e0b69dc6bcdb4834b
migrations/0002_public_api_cache.sql,475,16,14,909ebb92e4d4cecc913e77a428aad51d49ad7c0d6dbe0528298c0a0926048dbd
migrations/0003_subsidy_research_schema.sql,4478,122,113,eef14df257134a75cd1f86dffc569e7b427da66770f0580de96c07af31e1d302
package-lock.json,161117,4809,4809,89144a92aed109558c548076fa6830ca6955c894dd62bccb38b17c4d7a0ba200
package.json,597,26,26,2376a80e6dfef74438b5dd4db744f49c3dbf40182484b53731b0d31a482d6066
plugins/subsidy-ai/.app.json,102,7,7,de8d7876082da94c47484007e34806cf684cdfe01ca8dcb17a6ae1dca9a1ef38
plugins/subsidy-ai/.codex-plugin/plugin.json,2089,33,33,7b7688bac3039f9d0bea10146a1cbe164f9c6c1c3345844c6451d270e6b4872c
plugins/subsidy-ai/README.md,7909,73,48,96bc2e7a548ae11255fa4dcf83e5121775425421d94e04f0dfb30e1e59b1702a
plugins/subsidy-ai/assets/subsidy-search-logo.png,1308003,0,0,7622df7b2936a8a0bd057cf98bfddd9d709877ac043a28a3886ef0e5a105cff0
scripts/d1-local-smoke-test.sql,2968,126,118,4391f916c7554e2b66b128ac24ccb4d30360c8c52cd3de343d00d68f6f2f525b
src/cache.ts,5508,224,208,a609cbad07722dcffd5e2082fb7e58e1269d1205780c7e0fae6a9bbe52489d50
src/companyMatching.ts,7422,232,219,05b330fe93e61f2b30da73ea920eb7fd94006c68c242fb0ccc487f2d1ad90702
src/d1Relations.ts,23679,697,657,fe43bb542809235994dd528237bea9d4dc0580baa43bdd0542272dbfe55aa8d8
src/deemedLargeEnterprise.ts,10070,273,254,33c94111f849229d10ebe520410171749963f75c23da84f557cb56dce301073b
src/edinet.ts,21076,638,599,45691d42d2513401c5411f5620eb1d785e089ec58a771f4035708303622cabdb
